scenario,initial_largest_scc_size,initial_aspl_scc,initial_avg_accessibility,nodes_identified_for_removal,removed_nodes,final_largest_scc_size,final_aspl_scc,final_avg_accessibility,scc_change_pct,aspl_change_pct,accessibility_change_pct,graph_nodes,graph_edges,removed_nodes_str
remove_top_5_betweenness_centrality,4684,6771.5044,5.0732,"['LTFRB_1140', 'LTFRB_1139', 'LTFRB_2058', 'LTFRB_2057', 'LTFRB_3034']","['LTFRB_1140', 'LTFRB_1139', 'LTFRB_2058', 'LTFRB_2057', 'LTFRB_3034']",4676,6962.2026,4.6959,-0.1708,2.8162,-7.4373,4878,11425,"LTFRB_1140,LTFRB_1139,LTFRB_2058,LTFRB_2057,LTFRB_3034"
remove_top_5_total_degree,4684,6771.5044,5.0732,"['LTFRB_1742', 'LTFRB_1645', 'LTFRB_1522', 'LTFRB_1712', 'LTFRB_1794']","['LTFRB_1742', 'LTFRB_1645', 'LTFRB_1522', 'LTFRB_1712', 'LTFRB_1794']",4678,6798.803,4.9971,-0.1281,0.4031,-1.4992,4878,11425,"LTFRB_1742,LTFRB_1645,LTFRB_1522,LTFRB_1712,LTFRB_1794"
