route_a,a_route_short_name,a_route_long_name,route_b,b_route_short_name,b_route_long_name,overlap_metric,overlap_value,shared_stops,route_a_stops,route_b_stops
LTFRB_PUJ1218,,Cogeo - Cubao via Marcos Hi-way,LTFRB_PUJ1219,,Cogeo - Cubao via Marcos Hi-way,jaccard,1.0,58,58,58
LTFRB_PUJ2395,,Polo Sangandaan via Tenejeros,LTFRB_PUJ2396,,Polo Sangandaan via Tenejeros,jaccard,1.0,23,23,23
LTFRB_PUJ1986,,CUBAO - WELCOME ROTONDA,LTFRB_PUJ1987,,CUBAO - WELCOME ROTONDA,jaccard,1.0,18,18,18
LTFRB_PUJ2546,,Meycauayan Plaridel,LTFRB_PUJ2547,,Meycauayan Plaridel,jaccard,1.0,49,49,49
LTFRB_PUJ2450,,Alabang-Bbayan via Bicutan,LTFRB_PUJ2451,,Alabang-Bbayan via Bicutan,jaccard,1.0,20,20,20
LTFRB_PUJ1290,,Divisoria - Gastambide via Morayta,LTFRB_PUJ1291,,Divisoria - Gastambide via Morayta,jaccard,1.0,11,11,11
LTFRB_PUJ2553,,Monumento Bocaue,LTFRB_PUJ2554,,Monumento Bocaue,jaccard,1.0,81,81,81
LTFRB_PUJ1555,,"Proj. 2 & 3 - Q. Mart via Anonas, Kamias",LTFRB_PUJ1865,,PROJ 2&3-QMART,jaccard,1.0,16,16,16
LTFRB_PUJ1294,,Divisoria - Tayuman via Dagupan,LTFRB_PUJ1295,,Divisoria - Tayuman via Dagupan,jaccard,1.0,7,7,7
LTFRB_PUJ1308,,EDSA/SSH - Sucat via SSH,LTFRB_PUJ1309,,EDSA/SSH - Sucat via SSH,jaccard,1.0,26,26,26
LTFRB_PUJ1550,,"Proj. 2 & 3 - Recto via Kamuning, E. Rodriguez",LTFRB_PUJ1551,,"Proj. 2 & 3 - Recto via Kamuning, E. Rodriguez",jaccard,1.0,49,49,49
LTFRB_PUJ1037,,Alabang - Sucat via Cupang (East Service Rd.),LTFRB_PUJ1038,,Alabang - Sucat via Cupang (East Service Rd.),jaccard,1.0,11,11,11
LTFRB_PUJ1312,,EDSA/Shaw Central - Kalentong/JRC,LTFRB_PUJ1313,,EDSA/Shaw Central - Kalentong/JRC,jaccard,1.0,10,10,10
LTFRB_PUJ1838,,bagui,LTFRB_PUJ2140,,TAYTAY-PASIG PALENGKE,jaccard,1.0,47,47,47
LTFRB_PUJ1028,,Alabang - Muntinlupa Bilibid Prison via Katarungan Village,LTFRB_PUJ1828,,ALABANG - KATARUNGAN VILLAGE via MUNTINLUPA NBP,jaccard,1.0,27,27,27
LTFRB_PUJ1708,,MUNOZ-VISAYAS AVE,LTFRB_PUJ1709,,MUNOZ-VISAYAS AVE,jaccard,1.0,14,14,14
LTFRB_PUJ2557,,Monumento Malanday,LTFRB_PUJ2558,,Monumento Malanday,jaccard,1.0,36,36,36
LTFRB_PUJ2371,,Old Pque Bldg San Antonio Valley,LTFRB_PUJ2372,,Old Pque Bldg San Antonio Valley,jaccard,1.0,12,12,12
LTFRB_PUJ1025,,"Alabang - Muntinlupa via National Rd. up to Bayan-bayanan, San Pedro",LTFRB_PUJ1026,,"Alabang - Muntinlupa via National Rd. up to Bayan-bayanan, San Pedro",jaccard,1.0,25,25,25
LTFRB_PUJ1630,,Calamba (TP) -San Pedro National Road,LTFRB_PUJ1631,,Calamba (TP) -San Pedro National Road,jaccard,1.0,39,39,39
LTFRB_PUJ1634,,"Cogeo - Paenaan via Padilla, Marcos Hi-way",LTFRB_PUJ1635,,"Cogeo - Paenaan via Padilla, Marcos Hi-way",jaccard,1.0,30,30,30
LTFRB_PUJ2008,,CRAME - SAN JUAN via PINAGLABANAN,LTFRB_PUJ2009,,CRAME - SAN JUAN via PINAGLABANAN,jaccard,1.0,7,7,7
LTFRB_PUJ2353,,Nagtahan RTDA Pandacan,LTFRB_PUJ2354,,Nagtahan RTDA Pandacan,jaccard,1.0,4,4,4
LTFRB_PUJ2351,,Montalban Wawa,LTFRB_PUJ2352,,Montalban Wawa,jaccard,1.0,15,15,15
LTFRB_PUJ1970,,DIVISORIA - NORTH PIER via MORIONES,LTFRB_PUJ1971,,DIVISORIA - NORTH PIER via MORIONES,jaccard,1.0,14,14,14
LTFRB_PUJ1284,,Divisoria - San Juan,LTFRB_PUJ1285,,Divisoria - San Juan,jaccard,1.0,25,25,25
LTFRB_PUJ1276,,Divisoria - Pier North via Del Pan,LTFRB_PUJ1277,,Divisoria - Pier North via Del Pan,jaccard,1.0,10,10,10
LTFRB_PUJ1057,,Arroceros - Roxas Dist. Via Espana,LTFRB_PUJ1058,,Arroceros - Roxas Dist. Via Espana,jaccard,1.0,19,19,19
LTFRB_PUJ1894,,MONTALBAN - MARCOS AVE via LITEX,LTFRB_PUJ1895,,MONTALBAN - MARCOS AVE via LITEX,jaccard,1.0,43,43,43
LTFRB_PUJ1134,,Balintawak - Frisco,LTFRB_PUJ1135,,Balintawak - Frisco,jaccard,1.0,24,24,24
LTFRB_PUJ1132,,Balintawak - Camarin via Susano,LTFRB_PUJ1133,,Balintawak - Camarin via Susano,jaccard,1.0,60,60,60
LTFRB_PUJ1130,,Balintawak - Blumentritt,LTFRB_PUJ1131,,Balintawak - Blumentritt,jaccard,1.0,18,18,18
LTFRB_PUJ1616,,Munoz - Luzon,LTFRB_PUJ1617,,Munoz - Luzon,jaccard,1.0,18,18,18
LTFRB_PUJ1930,,IBP ROAD - LUPANG PANGAKO via LITEX ROAD,LTFRB_PUJ1931,,IBP ROAD - LUPANG PANGAKO via LITEX ROAD,jaccard,1.0,16,16,16
LTFRB_PUJ2522,,Lagro-SM Fairview,LTFRB_PUJ2523,,Lagro-SM Fairview,jaccard,1.0,12,12,12
LTFRB_PUJ1914,,MALINTA - KAYBIGA,LTFRB_PUJ1915,,MALINTA - KAYBIGA,jaccard,1.0,26,26,26
LTFRB_PUJ1228,,Cubao - Proj. 4 via P. Tuazon,LTFRB_PUJ1229,,Cubao - Proj. 4 via P. Tuazon,jaccard,1.0,13,13,13
LTFRB_PUJ2520,,Karuhatan Monumento,LTFRB_PUJ2521,,Karuhatan Monumento,jaccard,1.0,18,18,18
LTFRB_PUJ1932,,IBP ROAD - LUPANG PANGAKO GRAVEL FIT ROAD,LTFRB_PUJ1933,,IBP ROAD - LUPANG PANGAKO GRAVEL FIT ROAD,jaccard,1.0,14,14,14
LTFRB_PUJ1600,,Tanza - Zapote (Las Pinas) via Aguinaldo Hi-way,LTFRB_PUJ1601,,Tanza - Zapote (Las Pinas) via Aguinaldo Hi-way,jaccard,1.0,10,10,10
LTFRB_PUJ1142,,Balintawak - PUC via BAESA,LTFRB_PUJ1143,,Balintawak - PUC via BAESA,jaccard,1.0,22,22,22
LTFRB_PUJ1598,,"Golden City Subd. - Molino Market via Talon, Molino Rd.",LTFRB_PUJ1599,,"Golden City Subd. - Molino Market via Talon, Molino Rd.",jaccard,1.0,50,50,50
LTFRB_PUJ1880,,NOVA-DEPARO,LTFRB_PUJ1881,,NOVA-DEPARO,jaccard,1.0,25,25,25
LTFRB_PUJ1590,,Sucat Hi-way - Bagumbayan,LTFRB_PUJ1591,,Sucat Hi-way - Bagumbayan,jaccard,1.0,10,10,10
LTFRB_PUJ2544,,Meycauayan Malolos,LTFRB_PUJ2545,,Meycauayan Malolos,jaccard,1.0,41,41,41
LTFRB_PUJ1095,,"Baclaran - Sucat/SSH via Imelda Ave.,",LTFRB_PUJ1096,,"Baclaran - Sucat/SSH via Imelda Ave.,",jaccard,1.0,48,48,48
LTFRB_PUJ1578,,"Rosario Jct. - San Juan via Pinaglabanan, Ortigas",LTFRB_PUJ2591,,Rosario Jct-San Juan via Pinaglabanan,jaccard,1.0,24,24,24
LTFRB_PUJ1250,,Del Monte - Quezon Ave. via Banaue,LTFRB_PUJ1251,,Del Monte - Quezon Ave. via Banaue,jaccard,1.0,11,11,11
LTFRB_PUJ1694,,NOVALICHES-SHELTERVILLE,LTFRB_PUJ1695,,NOVALICHES-SHELTERVILLE,jaccard,1.0,31,31,31
LTFRB_PUJ2349,,Montalban San Rafael,LTFRB_PUJ2350,,Montalban San Rafael,jaccard,1.0,22,22,22
LTFRB_PUJ1924,,L GUINTO - STA ANA,LTFRB_PUJ1925,,L GUINTO - STA ANA,jaccard,1.0,10,10,10
LTFRB_PUJ2051,,BLUMENTRITT - P CAMPA via DIMASALANG DELOS REYES,LTFRB_PUJ2052,,BLUMENTRITT - P CAMPA via DIMASALANG DELOS REYES,jaccard,1.0,9,9,9
LTFRB_PUJ2071,,BACLARAN - ZAPOTE BACOOR,LTFRB_PUJ2072,,BACLARAN - ZAPOTE BACOOR,jaccard,1.0,34,34,34
LTFRB_PUJ2313,,Cash & Carry Buendia LRT,LTFRB_PUJ2314,,Cash & Carry Buendia LRT,jaccard,1.0,10,10,10
LTFRB_PUJ2311,,Brgy Bagong Silangan Sampaguita via Marcos Ave,LTFRB_PUJ2312,,Brgy Bagong Silangan Sampaguita via Marcos Ave,jaccard,1.0,9,9,9
LTFRB_PUJ1912,,MALINTA - MALOLOS,LTFRB_PUJ1913,,MALINTA - MALOLOS,jaccard,1.0,63,63,63
LTFRB_PUJ2025,,BUENDIA LRT TAFT - MALL OF ASIA,LTFRB_PUJ2026,,BUENDIA LRT TAFT - MALL OF ASIA,jaccard,1.0,6,6,6
LTFRB_PUJ1648,,Silang - Zapote (Las Pinas),LTFRB_PUJ1649,,Silang - Zapote (Las Pinas),jaccard,1.0,96,96,96
LTFRB_PUJ1657,,"Monumento - Polo via Acacia, M.H. del Pilar",LTFRB_PUJ1658,,"Monumento - Polo via Acacia, M.H. del Pilar",jaccard,1.0,31,31,31
LTFRB_PUJ1430,,Malinta - Bocaue via McArthur Hi-way,LTFRB_PUJ1431,,Malinta - Bocaue via McArthur Hi-way,jaccard,1.0,50,50,50
LTFRB_PUJ2029,,BUENDIA LRT - SM MOA,LTFRB_PUJ2030,,BUENDIA LRT - SM MOA,jaccard,1.0,5,5,5
LTFRB_PUJ1498,,"Novaliches - Shelter Ville via Camarin Rd., Bagon Silang",LTFRB_PUJ1499,,"Novaliches - Shelter Ville via Camarin Rd., Bagon Silang",jaccard,1.0,38,38,38
LTFRB_PUJ1376,,IBF Road/Litex Road - Lupang Pangako (Payatas) via Gravel Pit Road,LTFRB_PUJ1377,,IBF Road/Litex Road - Lupang Pangako (Payatas) via Gravel Pit Road,jaccard,1.0,18,18,18
LTFRB_PUJ2105,,ARROCEROS - CUBAO YALE,LTFRB_PUJ2106,,ARROCEROS - CUBAO YALE,jaccard,1.0,32,32,32
LTFRB_PUJ1380,,Kabihasnan Road - Sucat/SSH,LTFRB_PUJ1381,,Kabihasnan Road - Sucat/SSH,jaccard,1.0,26,26,26
LTFRB_PUJ1640,,EDSA/Shaw Central - Tanay via Antipolo,LTFRB_PUJ1643,,Tanay - Robinson Galleria via Antipolo San Miguel,jaccard,1.0,121,121,121
LTFRB_PUJ1424,,Malanday - Bulacan,LTFRB_PUJ1425,,Malanday - Bulacan,jaccard,1.0,25,25,25
LTFRB_PUJ1730,,LAGRO-PHILCOA,LTFRB_PUJ1731,,LAGRO-PHILCOA,jaccard,1.0,53,53,53
LTFRB_PUJ1342,,Forbes Park - Pasay Rd. via Ayala Ave.,LTFRB_PUJ1343,,Forbes Park - Pasay Rd. via Ayala Ave.,jaccard,1.0,13,13,13
LTFRB_PUJ1768,,CUBAO-PROJ 4,LTFRB_PUJ1769,,CUBAO-PROJ 4,jaccard,1.0,16,16,16
LTFRB_PUJ1766,,CUBAO-ROCES,LTFRB_PUJ1767,,CUBAO-ROCES,jaccard,1.0,17,17,17
LTFRB_PUJ1764,,CUBAO-ROSARIO,LTFRB_PUJ1765,,CUBAO-ROSARIO,jaccard,1.0,24,24,24
LTFRB_PUJ1436,,Malinta - Sta. Maria via McArthur Hi-way,LTFRB_PUJ1911,,MALINTA - STA MARIA,jaccard,1.0,78,78,78
LTFRB_PUJ1216,,Cielito Homes - Novaliches (TP) via Old Camarin Rd.,LTFRB_PUJ1217,,Cielito Homes - Novaliches (TP) via Old Camarin Rd.,jaccard,1.0,18,18,18
LTFRB_PUJ1434,,Malinta - Novaliches (TP),LTFRB_PUJ1435,,Malinta - Novaliches (TP),jaccard,1.0,44,44,44
LTFRB_PUJ1833,,ALABANG - MUNTINLUPA,LTFRB_PUJ2125,,ALABANG - MUNTINLUPA,jaccard,1.0,29,29,29
LTFRB_PUJ1438,,Malinta Exit - McArthur Highway via T. Santiago,LTFRB_PUJ1439,,Malinta Exit - McArthur Highway via T. Santiago,jaccard,1.0,20,20,20
LTFRB_PUJ2333,,Karuhatan Ugong,LTFRB_PUJ2334,,Karuhatan Ugong,jaccard,1.0,16,16,16
LTFRB_PUJ1406,,Lagro - SM Fairview Loop,LTFRB_PUJ1407,,Lagro - SM Fairview Loop,jaccard,1.0,12,12,12
LTFRB_PUJ2129,,ALABANG - LANGGAM SAN PEDRO,LTFRB_PUJ2130,,ALABANG - LANGGAM SAN PEDRO,jaccard,1.0,27,27,27
LTFRB_PUJ1442,,Rodriguez (Rizal) - Litex Market via Litex Rd.,LTFRB_PUJ1443,,Rodriguez (Rizal) - Litex Market via Litex Rd.,jaccard,1.0,43,43,43
LTFRB_PUJ1214,,CCP Complex - Taft Ave. via Vito Cruz,LTFRB_PUJ1215,,CCP Complex - Taft Ave. via Vito Cruz,jaccard,1.0,10,10,10
LTFRB_PUJ1009,,Mayhaligue - Plaza dela Barca via J.A.,LTFRB_PUJ1010,,Mayhaligue - Plaza dela Barca via J.A.,jaccard,1.0,7,7,7
LTFRB_PUJ1003,,A. Bonifacio - A. Mabini via 10th Avenue,LTFRB_PUJ1004,,A. Bonifacio - A. Mabini via 10th Avenue,jaccard,1.0,16,16,16
LTFRB_PUJ1512,,Paco - Sta. Mesa Rotonda via Nagtahan,LTFRB_PUJ1513,,Paco - Sta. Mesa Rotonda via Nagtahan,jaccard,1.0,8,8,8
LTFRB_PUJ1444,,Pabahay ni Erap (Sub-urban) - Commonwealth Market,LTFRB_PUJ1445,,Pabahay ni Erap (Sub-urban) - Commonwealth Market,jaccard,1.0,62,62,62
LTFRB_PUJ2559,,Monumento Malolos,LTFRB_PUJ2560,,Monumento Malolos,jaccard,0.9894736842105263,94,95,94
LTFRB_PUJ1680,,PIER SOUTH-FAIRVIEW DAHLIA-PHILCOA,LTFRB_PUJ1936,,FAIRVIEW WET MARKET - PIER SOUTH via QUEZON AVE,jaccard,0.989247311827957,92,93,92
LTFRB_PUJ2109,,ANTIPOLO BAYAN - SM TAYTAY ANTIPOLO HILLS,LTFRB_PUJ2111,,ANTIPOLO - JRU ROSARIO,jaccard,0.989010989010989,90,91,90
LTFRB_PUJ1146,,"Brgy. San Rafael (Rodriguez) - Quezon City Hall via Maly (San Mateo, Rizal*",LTFRB_PUJ1531,,"Philcoa - Rodriguez Town (Montalban) via Commonwealth Ave., Kalayaan Ave.",jaccard,0.9879518072289156,82,83,82
LTFRB_PUJ1530,,"Philcoa - Rodriguez Town (Montalban) via Commonwealth Ave., Kalayaan Ave.",LTFRB_PUJ1531,,"Philcoa - Rodriguez Town (Montalban) via Commonwealth Ave., Kalayaan Ave.",jaccard,0.9878048780487805,81,81,82
LTFRB_PUJ1436,,Malinta - Sta. Maria via McArthur Hi-way,LTFRB_PUJ1910,,MALINTA - STA MARIA,jaccard,0.9871794871794872,77,78,77
LTFRB_PUJ1910,,MALINTA - STA MARIA,LTFRB_PUJ2431,,Sta Maria Malinta via McArthur,jaccard,0.9871794871794872,77,77,78
LTFRB_PUJ1910,,MALINTA - STA MARIA,LTFRB_PUJ1911,,MALINTA - STA MARIA,jaccard,0.9871794871794872,77,77,78
LTFRB_PUJ2431,,Sta Maria Malinta via McArthur,LTFRB_PUJ2543,,Malinta Sta. Maria via McArthur,jaccard,0.9871794871794872,77,78,77
LTFRB_PUJ1645,,Malinta - Malolos via McArthur Hi-way,LTFRB_PUJ2532,,Malinta Hagonoy via MacArthur Highway,jaccard,0.9868421052631579,75,76,75
LTFRB_PUJ2532,,Malinta Hagonoy via MacArthur Highway,LTFRB_PUJ2535,,Malinta Hagonoy via Meycauayan,jaccard,0.9868421052631579,75,75,76
LTFRB_PUJ1235,,Cubao - Lagro via Kalayaan,LTFRB_PUJ1735,,LAGRO-CUBAO,jaccard,0.9866666666666667,74,74,75
LTFRB_PUJ1047,,Antipolo - EDSA/Shaw Blvd.,LTFRB_PUJ1048,,Antipolo - EDSA/Shaw Blvd.,jaccard,0.9859154929577465,70,71,70
LTFRB_PUJ1626,,Prenza (Marilao) - Monumento via McArthur Hi-way,LTFRB_PUJ1627,,Prenza (Marilao) - Monumento via McArthur Hi-way,jaccard,0.9857142857142858,69,69,70
LTFRB_PUJ1596,,"Talon - Pailiparan (Dasmarinas, Cavite) via Molino Rd.",LTFRB_PUJ1597,,"Talon - Pailiparan (Dasmarinas, Cavite) via Molino Rd.",jaccard,0.9852941176470589,67,67,68
LTFRB_PUJ1789,,NOVALICHES - RIZAL AVE. via BANAL,LTFRB_PUJ1824,,NOVALICHES - RIZAL AVE. via BANAL,jaccard,0.9838709677419355,61,61,62
LTFRB_PUJ2010,,COMMONWEALTH MARKET - PABAHAY NI ERAP,LTFRB_PUJ2011,,COMMONWEALTH MARKET - PABAHAY NI ERAP,jaccard,0.9836065573770492,60,60,61
LTFRB_PUJ1720,,"MCU-PASAY RTDA, MABINI",LTFRB_PUJ2077,,BACLARAN - MCU via MABINI,jaccard,0.9833333333333333,59,60,59
LTFRB_PUJ1460,,"MCU - Pasay Rotonda via Rizal Ave., Mabini",LTFRB_PUJ1474,,"Monumento - Pasay Rotonda via Rizal Ave., Mabini",jaccard,0.9824561403508771,56,57,56
LTFRB_PUJ1109,,Bagumbayan (Taguig) - Pasig (TP) via San Joaquin,LTFRB_PUJ2294,,Bagumbayan Palengke (Pasig),jaccard,0.9814814814814815,53,54,53
LTFRB_PUJ1014,,Alabang - Baclaran via Ninoy Aquino,LTFRB_PUJ1098,,Baclaran - Sucat/SSH via Quirino Ave.,jaccard,0.9807692307692307,51,51,52
LTFRB_PUJ1314,,"EDSA/Shaw Central - Morong via Binangonan, Cardona",LTFRB_PUJ1315,,"EDSA/Shaw Central - Morong via Binangonan, Cardona",jaccard,0.9805825242718447,101,101,103
LTFRB_PUJ2476,,Baliwag Malinta,LTFRB_PUJ2477,,Baliwag Malinta,jaccard,0.9803921568627451,50,51,50
LTFRB_PUJ1756,,FRISCO-REMEDIOS,LTFRB_PUJ1757,,FRISCO-REMEDIOS,jaccard,0.9803921568627451,50,50,51
LTFRB_PUJ1892,,MONUMENTO - MEYCAUAYAN via EXPRESSWAY,LTFRB_PUJ2150,,MONUMENTO - MEYCAUAYAN via EXPRESSWAY,jaccard,0.98,49,50,49
LTFRB_PUJ2589,,Rosario-San Juan Taytay,LTFRB_PUJ2590,,Rosario-San Juan Taytay,jaccard,0.98,49,50,49
LTFRB_PUJ2392,,Plaridel BBB (Val) via MacArthur Highway,LTFRB_PUJ2547,,Meycauayan Plaridel,jaccard,0.9795918367346939,48,48,49
LTFRB_PUJ2392,,Plaridel BBB (Val) via MacArthur Highway,LTFRB_PUJ2546,,Meycauayan Plaridel,jaccard,0.9795918367346939,48,48,49
LTFRB_PUJ2256,,PROJ 2&3 KALAW via RODRIGUEZ,LTFRB_PUJ2258,,PROJ 2&3 TM KALAW via E RODRIGUEZ,jaccard,0.9787234042553191,46,46,47
LTFRB_PUJ2486,,Binangonan-Cainta,LTFRB_PUJ2487,,Binangonan-Cainta,jaccard,0.9782608695652174,45,45,46
LTFRB_PUJ2345,,Malolos BBB (Val) via MacArthur Highway,LTFRB_PUJ2485,,BBB Malolos via McArthur Hway,jaccard,0.9775280898876404,87,89,87
LTFRB_PUB1017,,Ayala Malabon via EDSA,LTFRB_PUB1027,,Ayala UE Caloocan via EDSA,jaccard,0.9770114942528736,85,85,87
LTFRB_PUJ1184,,Blumentritt - Sta. Quiteria,LTFRB_PUJ1185,,Blumentritt - Sta. Quiteria,jaccard,0.9767441860465116,42,43,42
LTFRB_PUJ1784,,PASAY ROTUNDA - ALABANG via SKYWAY,LTFRB_PUJ1785,,PASAY ROTUNDA - ALABANG via SKYWAY,jaccard,0.9761904761904762,41,42,41
LTFRB_PUJ2462,,Angono-Cainta Junction via Taytay,LTFRB_PUJ2463,,Angono-Cainta Junction via Taytay,jaccard,0.9761904761904762,41,41,42
LTFRB_PUJ1146,,"Brgy. San Rafael (Rodriguez) - Quezon City Hall via Maly (San Mateo, Rizal*",LTFRB_PUJ1530,,"Philcoa - Rodriguez Town (Montalban) via Commonwealth Ave., Kalayaan Ave.",jaccard,0.9759036144578314,81,83,81
LTFRB_PUJ2041,,BLUMENTRITT - PUC,LTFRB_PUJ2042,,BLUMENTRITT - PUC,jaccard,0.975609756097561,40,40,41
LTFRB_PUJ1830,,ALABANG - LAS PINAS,LTFRB_PUJ2127,,ALABANG - LAS PINAS,jaccard,0.975609756097561,40,41,40
LTFRB_PUJ1436,,Malinta - Sta. Maria via McArthur Hi-way,LTFRB_PUJ2431,,Sta Maria Malinta via McArthur,jaccard,0.9746835443037974,77,78,78
LTFRB_PUJ1911,,MALINTA - STA MARIA,LTFRB_PUJ2431,,Sta Maria Malinta via McArthur,jaccard,0.9746835443037974,77,78,78
LTFRB_PUJ1910,,MALINTA - STA MARIA,LTFRB_PUJ2543,,Malinta Sta. Maria via McArthur,jaccard,0.9743589743589743,76,77,77
LTFRB_PUJ1872,,PATEROS - AYALA,LTFRB_PUJ1873,,PATEROS - AYALA,jaccard,0.9743589743589743,38,38,39
LTFRB_PUJ1645,,Malinta - Malolos via McArthur Hi-way,LTFRB_PUJ2535,,Malinta Hagonoy via Meycauayan,jaccard,0.974025974025974,75,76,76
LTFRB_PUJ1024,,Alabang - FTI via South Super Highway,LTFRB_PUJ1034,,Alabang - Signal Village via South Expressway Service Road,jaccard,0.9736842105263158,37,38,37
LTFRB_PUJ2595,,Taytay-Rosario,LTFRB_PUJ2596,,Taytay-Rosario,jaccard,0.972972972972973,72,74,72
LTFRB_PUJ1868,,PHILCOA - FAIRVIEW DAHLIA,LTFRB_PUJ1869,,PHILCOA - FAIRVIEW DAHLIA,jaccard,0.9722222222222222,35,35,36
LTFRB_PUJ2494,,Binangonan-Taytay via Angono,LTFRB_PUJ2495,,Binangonan-Taytay via Angono,jaccard,0.9714285714285714,34,35,34
LTFRB_PUJ1441,,Marcos Ave. - Quirino Hi-way via T. Sora,LTFRB_PUJ1745,,KATIPUNAN - QUIRINO HIGHWAY,jaccard,0.9705882352941176,33,33,34
LTFRB_PUJ2068,,BAGONG SILANG - SM FAIRVIEW via MALIGAYA PARK,LTFRB_PUJ2070,,BAGONG SILANG - NOVALICHES,jaccard,0.9696969696969697,32,33,32
LTFRB_PUB1067,,Ayala Fairview via EDSA,LTFRB_PUB1071,,Ayala Lagro via EDSA,jaccard,0.9693877551020408,95,96,97
LTFRB_PUJ2065,,BAGONG SILANG KALIWA - ROBINSONS FAIRVIEW via ZABARTE,LTFRB_PUJ2066,,BAGONG SILANG KALIWA - ROBINSONS FAIRVIEW via ZABARTE,jaccard,0.96875,31,31,32
LTFRB_PUJ1445,,Pabahay ni Erap (Sub-urban) - Commonwealth Market,LTFRB_PUJ2010,,COMMONWEALTH MARKET - PABAHAY NI ERAP,jaccard,0.967741935483871,60,62,60
LTFRB_PUJ1444,,Pabahay ni Erap (Sub-urban) - Commonwealth Market,LTFRB_PUJ2010,,COMMONWEALTH MARKET - PABAHAY NI ERAP,jaccard,0.967741935483871,60,62,60
LTFRB_PUJ1580,,"San Juan (Pinaglabanan) - San Juan, Taytay (Resettlement Area)",LTFRB_PUJ1581,,"San Juan (Pinaglabanan) - San Juan, Taytay (Resettlement Area)",jaccard,0.967741935483871,60,62,60
LTFRB_PUJ1812,,BINANGONAN-CAINTAviaTAYTAY-ANGONO,LTFRB_PUJ1813,,BINANGONAN-CAINTAviaTAYTAY-ANGONO,jaccard,0.967741935483871,60,61,61
LTFRB_PUJ1636,,EDSA/Shaw Central - Morong,LTFRB_PUJ1637,,EDSA/Shaw Central - Morong,jaccard,0.9669421487603306,117,119,119
LTFRB_PUJ1834,,ALABANG - SIGNAL VILLAGE via SERVICE ROAD,LTFRB_PUJ2124,,ALABANG - SIGNAL VILLAGE via SERVICE ROAD,jaccard,0.9666666666666667,29,30,29
LTFRB_PUJ1023,,Alabang - FTI via South Super Highway,LTFRB_PUJ2124,,ALABANG - SIGNAL VILLAGE via SERVICE ROAD,jaccard,0.9666666666666667,29,30,29
LTFRB_PUJ1225,,"Cubao-Divisoria via Sta.Mesa,Aurora Blvd.",LTFRB_PUJ1271,,"Divisoria - Murphy via Legarda, Aurora Blvd.",jaccard,0.9666666666666667,29,29,30
LTFRB_PUJ1468,,Meycauayan - Monumento via McArthur Hi-way,LTFRB_PUJ1469,,Meycauayan - Monumento via McArthur Hi-way,jaccard,0.9666666666666667,58,59,59
LTFRB_PUJ2484,,BBB Malolos via McArthur Hway,LTFRB_PUJ2485,,BBB Malolos via McArthur Hway,jaccard,0.9655172413793104,84,84,87
LTFRB_PUJ2125,,ALABANG - MUNTINLUPA,LTFRB_PUJ2126,,ALABANG - MUNTINLUPA,jaccard,0.9655172413793104,28,29,28
LTFRB_PUJ1833,,ALABANG - MUNTINLUPA,LTFRB_PUJ2126,,ALABANG - MUNTINLUPA,jaccard,0.9655172413793104,28,29,28
LTFRB_PUJ2110,,ANTIPOLO BAYAN - SM TAYTAY ANTIPOLO HILLS,LTFRB_PUJ2112,,ANTIPOLO - JRU ROSARIO,jaccard,0.9647058823529412,82,85,82
LTFRB_PUJ2126,,ALABANG - MUNTINLUPA,LTFRB_PUJ2129,,ALABANG - LANGGAM SAN PEDRO,jaccard,0.9642857142857143,27,28,27
LTFRB_PUJ1622,,UP Highway - Sangandaan,LTFRB_PUJ2317,,Don Mariano Marcos Ave Quirino Highway via Tsora,jaccard,0.9642857142857143,27,28,27
LTFRB_PUJ2126,,ALABANG - MUNTINLUPA,LTFRB_PUJ2130,,ALABANG - LANGGAM SAN PEDRO,jaccard,0.9642857142857143,27,28,27
LTFRB_PUJ2332,,Karuhatan Sta Cruz via Fuentes,LTFRB_PUJ2531,,Malinta-Sta Cruz,jaccard,0.9629629629629629,52,54,52
LTFRB_PUJ1028,,Alabang - Muntinlupa Bilibid Prison via Katarungan Village,LTFRB_PUJ2131,,ALABANG - KATARUNGAN VILLAGE via MUNTINLUPA NBP,jaccard,0.9629629629629629,26,27,26
LTFRB_PUJ1828,,ALABANG - KATARUNGAN VILLAGE via MUNTINLUPA NBP,LTFRB_PUJ2131,,ALABANG - KATARUNGAN VILLAGE via MUNTINLUPA NBP,jaccard,0.9629629629629629,26,27,26
LTFRB_PUJ1436,,Malinta - Sta. Maria via McArthur Hi-way,LTFRB_PUJ2543,,Malinta Sta. Maria via McArthur,jaccard,0.9620253164556962,76,78,77
LTFRB_PUJ1400,,Bagong Silang - Ever Gotesco extended to Philcoa,LTFRB_PUJ1402,,Bagong Silang - Ever Gotesco extended to Philcoa,jaccard,0.9620253164556962,76,79,76
LTFRB_PUJ1911,,MALINTA - STA MARIA,LTFRB_PUJ2543,,Malinta Sta. Maria via McArthur,jaccard,0.9620253164556962,76,78,77
LTFRB_PUJ1497,,Novaliches (TP) - Brgy. Deparo,LTFRB_PUJ1881,,NOVA-DEPARO,jaccard,0.9615384615384616,25,26,25
LTFRB_PUJ1497,,Novaliches (TP) - Brgy. Deparo,LTFRB_PUJ1880,,NOVA-DEPARO,jaccard,0.9615384615384616,25,26,25
