route_a,a_route_short_name,a_route_long_name,route_b,b_route_short_name,b_route_long_name,overlap_metric,overlap_value,shared_stops,route_a_stops,route_b_stops
LTFRB_PUB1122,,"Baclaran-Malanday viaEDSA, McArthur, Ayala",LTFRB_PUB1165,,"Malanday Term - NAIA viaEDSA, Buendia, Ayala",jaccard,0.7697841726618705,107,126,120
LTFRB_PUB1069,,Ayala Grotto via EDSA,LTFRB_PUB1156,,"Grotto - Baclaran via Commonwealth Ave, Ayala",jaccard,0.7697368421052632,117,130,139
LTFRB_PUJ1388,,Padre Faura - Sta Ana,LTFRB_PUJ1925,,L GUINTO - STA ANA,jaccard,0.7692307692307693,10,13,10
LTFRB_PUB1058,,SM Fairview Ayala Leveriza via EDSA,LTFRB_PUB1068,,Ayala Fairview via EDSA,jaccard,0.7692307692307693,70,83,78
LTFRB_PUJ1388,,Padre Faura - Sta Ana,LTFRB_PUJ1924,,L GUINTO - STA ANA,jaccard,0.7692307692307693,10,13,10
LTFRB_PUJ1582,,"San Andres Mkt. - Sta. Ana via P. Faura, P. Gil",LTFRB_PUJ1925,,L GUINTO - STA ANA,jaccard,0.7692307692307693,10,13,10
LTFRB_PUJ1501,,Novaliches - Tala via Quirino,LTFRB_PUJ1877,,NOVA-TALA,jaccard,0.7692307692307693,40,49,43
LTFRB_PUJ1582,,"San Andres Mkt. - Sta. Ana via P. Faura, P. Gil",LTFRB_PUJ1924,,L GUINTO - STA ANA,jaccard,0.7692307692307693,10,13,10
LTFRB_PUJ1188,,Boni/Pinatubo - Kalentong/JRC,LTFRB_PUJ1191,,Boni - Kalentong/JRC via Boni Ave.,jaccard,0.7692307692307693,10,11,12
LTFRB_PUJ1540,,Pier South - Proj. 6 via Espana,LTFRB_PUJ1557,,Proj. 6 - T.M. Kalaw via Quezon Ave.,jaccard,0.7692307692307693,60,71,67
LTFRB_PUJ1030,,Alabang - Pasay RTDA. Via FTI Service Rd.,LTFRB_PUJ1782,,PASAY ROTUNDA - FTI via SIGNAL VILLAGE,jaccard,0.7692307692307693,20,23,23
LTFRB_PUJ1191,,Boni - Kalentong/JRC via Boni Ave.,LTFRB_PUJ2307,,Boni Pinatubo Kalentong JRU,jaccard,0.7692307692307693,10,12,11
LTFRB_PUJ2485,,BBB Malolos via McArthur Hway,LTFRB_PUJ2554,,Monumento Bocaue,jaccard,0.7684210526315789,73,87,81
LTFRB_PUJ2485,,BBB Malolos via McArthur Hway,LTFRB_PUJ2553,,Monumento Bocaue,jaccard,0.7684210526315789,73,87,81
LTFRB_PUJ1401,,Bagong Silang - Ever Gotesco extended to Philcoa,LTFRB_PUJ1604,,Camarin-Trinoma,jaccard,0.7684210526315789,73,84,84
LTFRB_PUB1007,,Alabang Lawton via Zapote Coastal Rd,LTFRB_PUB1099,,Alabang - Plaza Lawton,jaccard,0.7682926829268293,63,78,67
LTFRB_PUJ1540,,Pier South - Proj. 6 via Espana,LTFRB_PUJ1608,,Proj 6 - Vito cruz via Quezon Avenue,jaccard,0.7682926829268293,63,71,74
LTFRB_PUJ1460,,"MCU - Pasay Rotonda via Rizal Ave., Mabini",LTFRB_PUJ1721,,"MCU-PASAY RTDA, MABINI",jaccard,0.7681159420289855,53,57,65
LTFRB_PUJ2023,,CAINTA - ANGONO via BINANGONAN,LTFRB_PUJ2115,,ANGONO - TROPICAL STA LUCIA,jaccard,0.7681159420289855,53,53,69
LTFRB_PUJ1730,,LAGRO-PHILCOA,LTFRB_PUJ1738,,LAGRO-ANONAS,jaccard,0.7681159420289855,53,53,69
LTFRB_PUJ1731,,LAGRO-PHILCOA,LTFRB_PUJ1738,,LAGRO-ANONAS,jaccard,0.7681159420289855,53,53,69
LTFRB_PUJ1736,,LAGRO-CITY HALL,LTFRB_PUJ1982,,CUBAO KALAYAAN - SM LAGRO,jaccard,0.7681159420289855,53,53,69
LTFRB_PUB1027,,Ayala UE Caloocan via EDSA,LTFRB_PUB1035,,Baclaran Navotas via Ayala,jaccard,0.7678571428571429,86,87,111
LTFRB_PUJ1542,,"Pier South - Proj. 7 via Espana, Roosevelt",LTFRB_PUJ1607,,Proj 7 - Quiapo,jaccard,0.7678571428571429,43,52,47
LTFRB_PUJ1165,,"Blumentritt - Libertad via Quiapo, L. Guinto",LTFRB_PUJ1174,,"Blumentritt - Pasay RTDA. via Quiapo, L. Guinto",jaccard,0.7674418604651163,33,36,40
LTFRB_PUB1019,,Ayala Monumento via EDSA,LTFRB_PUB1086,,Monumento Philcite via Ayala EDSA,jaccard,0.7674418604651163,66,68,84
LTFRB_PUJ2024,,CAINTA - ANGONO (ONE WAY ONLY),LTFRB_PUJ2462,,Angono-Cainta Junction via Taytay,jaccard,0.7674418604651163,33,35,41
LTFRB_PUB1093,,"Alabang - Malanday via EDSA, McArthur",LTFRB_PUB1163,,"Malanday - Muntinlupa via Edsa, Monumento",jaccard,0.7672955974842768,122,143,138
LTFRB_PUJ1721,,"MCU-PASAY RTDA, MABINI",LTFRB_PUJ1792,,"MONUMENTO-TAFTAVE.,PASA ROTUNDA",jaccard,0.7671232876712328,56,65,64
LTFRB_PUJ1469,,Meycauayan - Monumento via McArthur Hi-way,LTFRB_PUJ1627,,Prenza (Marilao) - Monumento via McArthur Hi-way,jaccard,0.7671232876712328,56,59,70
LTFRB_PUJ1468,,Meycauayan - Monumento via McArthur Hi-way,LTFRB_PUJ1627,,Prenza (Marilao) - Monumento via McArthur Hi-way,jaccard,0.7671232876712328,56,59,70
