route_id,route_short_name,route_long_name,circuity_index,actual_time_formatted,shortest_path_time_formatted,start_stop,start_stop_name,end_stop,end_stop_name,actual_time_seconds,shortest_path_time_seconds
LTFRB_PUJ1186,,"Blumentritt - Vito Cruz via Quiapo, Mabini",1.3053435114503817,00:45:36,00:34:56,LTFRB_1440,"Light Rail Transportation / New Antipolo, Quezon City",LTFRB_1703,"HP Village Square, Pablo Ocampo Sr., Manila",2736.0,2096.0
LTFRB_PUJ1956,,EDSA CENTR - SAN JOAQUIN,1.3046052631578948,00:33:03,00:25:20,LTFRB_3000,"M. Almeda, Pateros, Manila",LTFRB_3170,"Mayflower, Mandaluyong City, Manila",1983.0,1520.0
LTFRB_PUB1145,,Eastwood Libis - Marriot Terminal via Acropolis,1.3045547246770903,01:35:57,01:13:33,LTFRB_4281,"Newport Blvd, Pasay City, Manila",LTFRB_3869,"Pheonix Sun Business Park, Quezon City, Manila",5757.0,4413.0
LTFRB_PUJ1222,,"Crame - Q-Mart via P. Tuazon, E. Garcia",1.3035398230088495,00:24:33,00:18:50,LTFRB_2156,"Road 6, San Juan, Manila",LTFRB_2128,"Ermin Garcia Ave, Quezon City, Manila",1473.0,1130.0
LTFRB_PUB1095,,Alabang - Navotas Terminal via EDSA,1.302207314434105,03:20:35,02:34:02,LTFRB_4446,"MMDA Navotos Bus Terminal, Circumferential Road 4, Navotas City, Manila",LTFRB_2622,"South Luzon Expressway / Montillano St Intersection, Muntinlupa City, Manila",12035.0,9242.0
LTFRB_PUJ1367,,Guadalupe (ABC) - Pateros,1.2996661101836393,00:25:57,00:19:58,LTFRB_3131,"Epifanio de los Santos Avenue, Makati City, Manila",LTFRB_2994,"B. Morcilla St, Pateros, Manila",1557.0,1198.0
LTFRB_PUJ2467,,Angono Rosario,1.2991973429283143,01:18:14,01:00:13,LTFRB_3034,"Ortigas Ave / Dr Sixto Antonio Ave Intersection, Pasig City, Manila",LTFRB_3324,"Quezon Ave, Angono, Manila",4694.0,3613.0
LTFRB_PUJ1304,,"EDSA/North Ave. - UP via North Ave., Marcos Ave.",1.2958850424559112,00:33:04,00:25:31,LTFRB_1244,"Epifanio de los Santos Avenue / North Avenue Intersection, Quezon City",LTFRB_2272,"E. Ma. Guerrero / Osmeña Ave, Quezon City, Manila",1984.0,1531.0
LTFRB_PUB1184,,Pala - pala Dasmarinas Cavite - Navotas Terminal via Edsa,1.2943976565360673,04:54:35,03:47:35,LTFRB_4446,"MMDA Navotos Bus Terminal, Circumferential Road 4, Navotas City, Manila",LTFRB_4257,"Governor's Dv, Dasmariñas City, Manila",17675.0,13655.0
LTFRB_PUB1042,,Baclaran SM Fairview via Lagro,1.2930210881975999,03:04:58,02:23:03,LTFRB_551,"Quirino Highway / Maligaya Intersection, Caloocan City",LTFRB_2396,"NAIA Rd, Parañaque City, Manila",11098.0,8583.0
LTFRB_PUB1139,,"Bagong Silang - NAIA via Maligaya Park, EDSA",1.2921638822593478,03:36:34,02:47:36,LTFRB_2401,"Maria, Parañaque City, Manila",LTFRB_497,"Green Construction Supply, Langit Road, Caloocan City",12994.0,10056.0
LTFRB_PUJ1841,,STOP N SHOP - BACOOD,1.2894117647058823,00:09:08,00:07:05,LTFRB_1860,"Bacood / Dalisay Intersection, Manila",LTFRB_1846,"Internet Cafe, Old Sta. Mesa, Manila",548.0,425.0
LTFRB_PUJ2359,,Navotas Recto,1.289107289107289,00:52:28,00:40:42,LTFRB_1528,"Oroquieta, Manila",LTFRB_218,"Navotas City Hall, M. Naval, City of Navotas",3148.0,2442.0
