stop_id,out_degree,stop_name,stop_lat,stop_lon
LTFRB_2911,6,"South Luzon Expressway, Makati City, Manila",14.5328,121.021
LTFRB_71,6,"Inglesia Ni Cristo, MacArthur Highway, Dalandanan, Valenzuela City",14.7013,120.962
LTFRB_2909,6,"South Luzon Expressway, Makati City, Manila",14.527,121.024
LTFRB_1230,6,"Congressional Avenue, Quezon City",14.6645,121.025
LTFRB_1641,6,"Padre Burgos /  Taft Ave Intersection St, Manila",14.5882,120.981
LTFRB_1077,6,"SM Hypermarket, North Avenue, Quezon City",14.6548,121.034
LTFRB_1651,6,"Ayala Blvd / Taft Avenue Intersection, Manila",14.5861,120.983
LTFRB_3786,6,"J. Chanyungco St / Mayor Gil Fernando Ave Intersection, Marikina City, Manila",14.6328,121.101
LTFRB_1802,6,"Arsenio H. Lacson Ave / J. Fajardo Intersection, Manila",14.6076,120.995
LTFRB_4343,6,"5th Ave West / A Del Mundo St, Caloocan City, Manila",14.6446,120.982
LTFRB_4344,6,"5th Ave West / Maria Clara St, Caloocan City, Manila",14.6444,120.985
LTFRB_1622,6,"Padre Burgos St, Manila",14.5938,120.98
LTFRB_361,6,"Caloocan Dental Clinic, Circumference Road 3, Caloocan City",14.645,120.973
LTFRB_2887,6,"South Luzon Expressway, Taguig City, Manila",14.4768,121.045
LTFRB_839,6,"Commonwealth Avenue / Winston Intersection, Quezon City",14.7052,121.078
LTFRB_830,6,"Mindanao Avenue / Belfast Intersection, Quezon City",14.7268,121.058
LTFRB_2888,6,"South Luzon Expressway, Taguig City, Manila",14.4804,121.045
LTFRB_2395,6,"Dr A. Santos Ave, Parañaque City, Manila",14.454,121.045
LTFRB_2883,6,"South Luzon Expressway, Muntinlupa City, Manila",14.4613,121.045
LTFRB_1231,6,"Congressional Avenue, Quezon City",14.6677,121.034
LTFRB_1301,6,"Del Monte Avenue / A. Bonifacio Intersection, Quezon City",14.6374,120.994
LTFRB_1737,6,"Epifanio de los Santos Avenue, Lungsod ng Pasay",14.5373,120.993
LTFRB_1470,6,"Light Rail Transportation 1, Manila",14.6211,120.983
