stop_id,total_degree,stop_name,stop_lat,stop_lon
LTFRB_280,12,"Malabon City Square, Circimferential Road 4, Malabon City",14.6576,120.962
LTFRB_1392,12,"Quezon Avenue / West 6th Intersection, Quezon City",14.6382,121.028
LTFRB_1521,12,"España Blvd / Quezon Blvd  Intersection, Manila",14.6048,120.985
LTFRB_1768,12,"Senator Gil Puyat Ave, Lungsod ng Pasay, Manila",14.5523,120.99
LTFRB_1739,12,"Epifanio de los Santos Avenue, Lungsod ng Pasay",14.5357,120.986
LTFRB_4500,12,"Kamuning Rd / L. Siangio, Quezon City, Manila",14.6274,121.034
LTFRB_1241,12,"Phoenix, Epifanio de los Santos Avenue, Quezon City",14.6565,121.026
LTFRB_1551,12,"Claro M. Recto Ave / Jose Abad Santos Ave. Intersection, Manila",14.6061,120.975
LTFRB_835,12,"Total Fairview, Commonwealth Avenue, Quezon City",14.708,121.063
LTFRB_2072,12,"D. Tuazon / Eulogio Rodriguez Sr Ave Intersection, Manila",14.618,121.005
LTFRB_2055,12,"Epifanio de los Santos Avenue /  Shaw Blvd Intersection, Mandaluyong City, Manila",14.5811,121.054
LTFRB_2395,12,"Dr A. Santos Ave, Parañaque City, Manila",14.454,121.045
LTFRB_4237,12,"MRT-3 Magallanes Station, EDSA, Makati City, Manila",14.5419,121.019
LTFRB_1526,12,"LRT Doroteo Jose-Recto Station Walkway / Rizal Avenue Intersection, Manila",14.6037,120.983
LTFRB_1367,12,"Systems Technology Institute, Quezon Avenue, Quezon City",14.6292,121.014
LTFRB_1933,12,"Senator Gil Puyat Ave, Makati City",14.5603,121.013
LTFRB_1653,12,"Taft Ave / Padre Faura Intersection, Manila",14.5799,120.986
LTFRB_1499,12,"Instruccion / Espana Boulevard Intersection, Manila",14.615,120.999
LTFRB_1311,12,"Andreas Bonifacio / Sgt. Emilio Rivera ntersection, Quezon City",14.6438,120.994
LTFRB_3172,12,"Sheridan / United Street, Mandaluyong City, Manila",14.5765,121.056
LTFRB_2909,12,"South Luzon Expressway, Makati City, Manila",14.527,121.024
LTFRB_328,12,"3th Avenue West, Caloocan City",14.6417,120.983
LTFRB_3280,12,"Ortigas Ave, Pasig City, Manila",14.5888,121.066
LTFRB_1470,12,"Light Rail Transportation 1, Manila",14.6211,120.983
LTFRB_1140,12,"North Luzon Expressway / Epifanio de los Santos Avenue Intersection, Caloocan City",14.6573,121.0
LTFRB_1005,12,"Social Science Institute, Commonwealth Avenue, Quezon City",14.6605,121.063
LTFRB_2906,12,"South Luzon Expressway, Taguig City, Manila",14.5161,121.03
LTFRB_1640,12,"Padre Burgos St, Manila",14.586,120.98
LTFRB_2250,12,"East Ave, Quezon City, Manila",14.6399,121.047
LTFRB_1934,11,"Ayala Ave / Senator Gil Puyat Ave Intersection, Makati City",14.5613,121.016
LTFRB_1900,11,"South Luzon Expressway, Manila",14.5726,121.0
LTFRB_4243,11,"MRT-3 Buendia Station, Makati City, Manila",14.5539,121.034
LTFRB_4344,11,"5th Ave West / Maria Clara St, Caloocan City, Manila",14.6444,120.985
LTFRB_3034,11,"Ortigas Ave / Dr Sixto Antonio Ave Intersection, Pasig City, Manila",14.5905,121.085
LTFRB_515,11,"National Mental Hospital, Barugo, Caloocan City",14.7676,121.044
LTFRB_1301,11,"Del Monte Avenue / A. Bonifacio Intersection, Quezon City",14.6374,120.994
LTFRB_2095,11,"Aurora Blvd / N Domingo Intersection, Quezon City, Manila",14.6198,121.046
LTFRB_399,11,"Isabelo delos Reyes Elementary School, Nicolas Zamora, Manila",14.6089,120.968
LTFRB_522,11,"Captain F. Samano, Caloocan City",14.7618,121.045
LTFRB_2096,11,"Aurora Blvd / Epifanio de los Santos Avenue Intersection, Quezon City, Manila",14.6214,121.05
LTFRB_2910,11,"South Luzon Expressway, Makati City, Manila",14.53,121.023
LTFRB_2146,11,"Santolan Rd, San Juan, Manila",14.6062,121.038
LTFRB_2057,11,"Epifanio de los Santos Avenue, Mandaluyong City, Manila",14.5762,121.05
LTFRB_2303,11,"Roxas Blvd / T. Claudio Intersection, Parañaque City, Manila",14.5259,120.994
LTFRB_1771,11,"Legarda, Manila",14.5977,120.99
LTFRB_3167,11,"Shaw College, Shaw Blvd, Manila",14.5763,121.06
LTFRB_2186,11,"Aurora Blvd / 20th Avenue, Quezon City, Manila",14.6265,121.06
