origin,origin_stop_name,destination,dest_stop_name,travel_time_formatted,num_transfers,path_length_stops,travel_time_seconds
EDSA_1,EDSA Carousel Bus Stop - Roosevelt,LTFRB_229,"Immaculate Memorial Garden, Gov. Pascual, City of Navotas",Infinite,-1,0,inf
LTFRB_3558,"Dela Paz St / A. Masangkay St Intersection,  Antipolo City, Manila",LTFRB_3835,"Gen. B. G. Molina, Marikina City, Manila",01:18:27,3,70,4707.0
LTFRB_2689,"Un-named road near Alvarez Extension, Las Piñas City, Manila",LTFRB_4422,"Col. Bonny Serrano Ave, Quezon City, Manila",Infinite,-1,0,inf
LTFRB_1445,"Jose Abad Santos Avenue / Morong Intersection, Quezon City",LTFRB_4773,"Teofilo Samson Road, Caloocan City",01:19:28,9,67,4768.0
LTFRB_3851,"Olive St, Marikina City, Manila",LTFRB_99,"MacArthur Highway / Lazones Intersection, Malabon City",01:34:10,10,68,5650.0
LTFRB_1882,"President Quirino Ave. Ext / Paz St Intersection, Manila",LTFRB_3716,"Felix Ave / V.V. Soliven Avenue I Intersection, Cainta, Manila",01:17:57,10,37,4677.0
LTFRB_2597,"Dlshsi College of Medicine, Congressional Rd, Lungsod ng Dasmariñas, Manila",LTFRB_4185,"Congressional Rd, General Mariano Alvarez, Manila",03:32:07,6,134,12727.0
LTFRB_1510,"Alfonso Mendoza, Manila",LTFRB_4292,"Korean International School, Upper McKinley Rd, Taguig City, Manila",01:14:01,10,46,4441.0
LTFRB_1396,"Quezon Avenue / Sgt. Esguerra Intersection, Quezon City",LTFRB_4773,"Teofilo Samson Road, Caloocan City",01:04:08,11,51,3848.0
LTFRB_2163,"15th Ave / Col. Bonny Serrano Intersection, Quezon City, Manila",LTFRB_3903,"Santa Maria Bypass Rd, Santa Maria, Manila",02:36:04,9,110,9364.0
LTFRB_2524,"Molino Rd, Bacoor City, Manila",LTFRB_3463,"Manila East Rd, Tatay, Manila",02:31:57,13,101,9117.0
LTFRB_1963,"A. Arnaiz Ave / Pasay Road Intersection, Makati City, Manila",LTFRB_4197,"MMDA EDSA-Central Terminal Bus Station Northbound, Quezon City, Manila",01:08:47,12,38,4127.0
LTFRB_1041,"Visayas Avenue / Congressional Avenue Extension, Quezon City",LTFRB_4605,"Almond Drive, Bacoor City",03:10:43,21,128,11443.0
LTFRB_3915,"Norzagaray-Santa Maria Rd, Santa Maria, Manila",LTFRB_486,"St Joseph, City of San Jose del Monte",02:33:30,4,134,9210.0
LTFRB_1053,"Quirino Highway / T. Carreon Intersection, Quezon City",LTFRB_999,"Commonwealth Avenue, Quezon City",00:47:41,4,37,2861.0
LTFRB_1449,"T Bugallon Street, Quezon City",LTFRB_3457,"Manila East Rd, Tatay, Manila",01:43:36,8,70,6216.0
LTFRB_1807,"G Tuazon / Vicente G Cruz Intersection, Manila",LTFRB_1885,"President Quirino Ave / J. Zamora St, Manila",00:20:11,5,12,1211.0
LTFRB_1090,"Road 3 / Road 5 Intersection, Quezon City",LTFRB_1800,"M. Arenas, Manila",00:58:16,10,50,3496.0
LTFRB_3094,"McKinley Pkwy, Taguig City, Manila",LTFRB_4814,"R Mercado Street, Santa Maria",Infinite,-1,0,inf
LTFRB_1727,"Dominga St, Lungsod ng Pasay",LTFRB_222,"Church of Jesus Christ of Latter-Day Saints, M. Naval, City of Navotas",01:06:38,9,45,3998.0
LTFRB_1858,"Mag J A santos, Manila",LTFRB_4949,Quirino Ave LRT,Infinite,-1,0,inf
LTFRB_1663,"Robinson's Place Residences II, Padre Faura, Manila",LTFRB_3634,"Marcos Hwy, Antipolo City, Manila",02:08:29,15,94,7709.0
LTFRB_1596,"Soler St / Reina Regente Intersection, Manila",LTFRB_3489,"Roman Rojas Rd, Teresa, Manila",02:20:45,9,105,8445.0
LTFRB_219,"Governor Pascual, City of Navotas",LTFRB_4826,"M H del Pilar Street, Rodriguez",02:37:17,11,128,9437.0
EDSA_3,EDSA Carousel Bus Stop - Ayala,LTFRB_3974,"Santa Maria San Jose Rd, Santa Maria, Manila",Infinite,-1,0,inf
LTFRB_2135,"Dona Juana S. Rodriguez Ave, Quezon City, Manila",LTFRB_3920,"Norzagaray-Santa Maria Rd / Magasawang Sapa Rd, Santa Maria, Manila",02:52:18,9,127,10338.0
LTFRB_2698,"GSIS Rd, Bacoor City, Manila",LTFRB_3380,"Manila Road East, Taytay, Manila",03:14:13,15,125,11653.0
LTFRB_2420,"Tirona Hwy, Bacoor City, Manila",LTFRB_3619,"Marcos Hwy, Antipolo City, Manila",03:38:42,15,146,13122.0
LTFRB_1211,"General Avenue, Quezon City",LTFRB_27,"MacArthur Highway, Marilao",01:34:48,10,77,5688.0
LTFRB_2007,"Zapote / Kalayaan Ave, Makati City, Manila",LTFRB_4320,"Bautista, Makati City, Manila",00:21:25,6,17,1285.0
