stop_id,closeness_centrality,stop_name,stop_lat,stop_lon
LTFRB_2160,0.00021810882647717265,"Col. Bonny Serrano, Quezon City, Manila",14.6109,121.055
LTFRB_1380,0.00021808276331677478,"Philipine Maritime Institute, Roosevelt Avenue, Quezon City",14.6339,121.018
LTFRB_1518,0.00021804120312928936,"España Blvd / Osmeña Drive Intersection, Manila",14.6082,120.991
LTFRB_1499,0.00021803950775311335,"Instruccion / Espana Boulevard Intersection, Manila",14.615,120.999
LTFRB_1500,0.0002180222813836626,"Espana Boulevard / Gen. E. Quintos Street Intersection, Manila",14.6136,120.997
LTFRB_4210,0.0002179943006802884,"Epifanio de los Santos Av, Quezon City, Manila",14.6264,121.048
LTFRB_4216,0.00021790040420687835,"Epifanio de los Santos Av, Quezon City, Manila",14.6152,121.053
LTFRB_2097,0.0002178975450675217,"Dr Garcia Sr. / Mother Ignacia Ave Intersection, Quezon City, Manila",14.63,121.019
LTFRB_4218,0.00021783974976757712,"Epifanio de los Santos Av, Quezon City, Manila",14.6121,121.055
LTFRB_4205,0.00021782973854570485,"MRT-3 GMA-Kamuning Station, EDSA, Quezon City, Manila",14.6351,121.043
LTFRB_4208,0.00021780748004745349,"Quezon City Public Library, Quezon City, Maniila",14.6302,121.046
LTFRB_1326,0.0002177784201535861,"Mayon, Quezon City",14.6239,120.999
LTFRB_4202,0.00021771643677738763,"Epifanio de los Santos Av, Quezon City, Manila",14.6392,121.041
LTFRB_1381,0.00021770693281056397,"Fisher Mall, Quezon Avenue, Quezon City",14.6337,121.02
LTFRB_1524,0.00021768981966562324,"Claro M. Recto Ave / Nicanor Reyes Street Intersection, Manila",14.6022,120.987
LTFRB_4217,0.0002176493397249643,"Main Avenue Cubao Bus Terminal Northbound, EDSA, Epifanio de los Santos Av, Quezon City, Manila",14.6137,121.054
LTFRB_2086,0.00021754253123718896,"Eulogio Rodriguez Sr. Ave, Quezon City, Manila",14.6218,121.048
LTFRB_1395,0.00021753803431647396,"Quezon Avenue, Quezon City",14.6417,121.033
LTFRB_1392,0.00021753695306214036,"Quezon Avenue / West 6th Intersection, Quezon City",14.6382,121.028
LTFRB_1338,0.00021753032429855528,"D Tuazon, Quezon City",14.6262,121.001
LTFRB_1794,0.00021751285499579606,"Ramon Magsaysay Blvd, Manila",14.6012,120.999
LTFRB_1382,0.00021741306402278516,"Quezon Avenue, Quezon City",14.6346,121.022
LTFRB_4209,0.00021737570384841798,"Ramon Magsaysay High School, Quezon City, Manila",14.6284,121.047
LTFRB_1531,0.0002172544878152382,"Sulu, Manila",14.6076,120.984
LTFRB_2078,0.00021725207898363327,"Trinity College Of Quezon City, Eulogio Rodriguez Sr. Ave, Quezon City, Manila",14.6211,121.022
LTFRB_4203,0.00021723514811814197,"Epifanio de los Santos Av, Quezon City, Manila",14.6378,121.042
LTFRB_1480,0.00021718520736387247,"Lacson Avenue / Alfonso Mendoza Intersection, Manila",14.6161,120.987
LTFRB_1379,0.0002171662224026041,"Roosevelt Avenue / De Vera Intersection, Quezon City",14.6354,121.018
LTFRB_4219,0.00021712898727618572,"Epifanio de los Santos Av, Quezon City, Manila",14.6094,121.056
LTFRB_2178,0.00021712004791384632,"Aurora Blvd / General Aguinaldo Ave Intersection, Quezon City, Manila",14.6229,121.053
LTFRB_2119,0.0002171194036639166,"Kamias Rd / Colonel Salgado Intersection, Quezon City, Manila",14.6311,121.047
LTFRB_1510,0.0002171152060665781,"Alfonso Mendoza, Manila",14.6097,120.986
LTFRB_2115,0.00021710763670896533,"Timog Ave, Quezon City, Manila",14.6332,121.042
LTFRB_4436,0.0002170850827503025,"Maryland / New York City Ave, Quezon City, Manila",14.6245,121.047
LTFRB_2104,0.00021706454571630558,"Timog Ave / Scout Santiago Intersection, Quezon City, Manila",14.6363,121.029
LTFRB_1390,0.0002170378161629911,"West Avenue / Bulletin Intersection, Quezon City",14.6405,121.027
LTFRB_4197,0.0002169561291357349,"MMDA EDSA-Central Terminal Bus Station Northbound, Quezon City, Manila",14.6469,121.036
LTFRB_2252,0.00021691582109794702,"East Ave, Quezon City, Manila",14.635,121.046
LTFRB_4204,0.00021689852067149893,"Epifanio de los Santos Av, Quezon City, Manila",14.6366,121.043
LTFRB_2111,0.0002168841760693807,"Judge Damien Jimenez / Kamuning Rd, Quezon City, Manila",14.6286,121.039
LTFRB_1783,0.00021682960758054459,"Quezon Blvd, Manila",14.6014,120.985
LTFRB_2120,0.00021680369867202527,"Kamias Rd / Maliksi St Intersection, Quezon City, Manila",14.6319,121.05
LTFRB_1769,0.00021678426854474151,"Mendiola / Legarda Intersection, Manila",14.6003,120.991
LTFRB_1394,0.0002167518592963382,"Quezon Avenue, Quezon City",14.6405,121.031
LTFRB_1393,0.00021666303942295735,"Dave's Tropical Breeze, Quezon Avenue, Quezon City",14.6393,121.029
LTFRB_4500,0.00021664878608673447,"Kamuning Rd / L. Siangio, Quezon City, Manila",14.6274,121.034
LTFRB_1515,0.00021654357792692656,"J. Barlin / P. Noval Intersection, Manila",14.6088,120.987
LTFRB_2112,0.00021653913222324236,"Judge Damien Jimenez, Quezon City, Manila",14.6263,121.039
LTFRB_1836,0.00021651348287666388,"Gregorio Araneta Ave, Quezon City",14.6148,121.017
LTFRB_1526,0.00021651008944876475,"LRT Doroteo Jose-Recto Station Walkway / Rizal Avenue Intersection, Manila",14.6037,120.983
LTFRB_1796,0.0002165061455983718,"Jollibee Figueras Legarda / Bustillos Intersection, Manila",14.6017,120.993
LTFRB_2087,0.00021650548496743194,"Gregorio Araneta Ave, Quezon City, Manila",14.6216,121.015
LTFRB_1479,0.0002164960864275677,"Aragon / Alfonso Mendoza Intersection, Manila",14.6167,120.987
LTFRB_1325,0.00021647680145749028,"Mayon, Quezon City",14.6257,120.998
LTFRB_2079,0.0002164696767954722,"St.Joseph College, Eulogio Rodriguez Sr. Ave, Quezon City, Manila",14.6222,121.025
LTFRB_1818,0.00021646090169763032,"Ramon Magsaysay Blvd, Manila",14.6016,121.002
LTFRB_4450,0.00021634429149739216,"K-H / K-8th, Quezon City, Manila",14.6305,121.05
LTFRB_1898,0.000216343451951727,"Nagtahan Flyover / Duhat Intersection, Manila",14.5998,121.0
LTFRB_1798,0.0002163068481002134,"F. Jhocson, Manila",14.6055,120.995
LTFRB_2080,0.00021627320307125497,"Eulogio Rodriguez Sr. Ave / Sunnyside Dr Intersection, Quezon City, Manila",14.6229,121.028
LTFRB_1378,0.00021626952752658966,"Roosevelt Avenue / Bautista Intersection, Quezon City",14.6369,121.018
LTFRB_1532,0.0002162574330699869,"Felix Huertas, Manila",14.6092,120.984
LTFRB_1339,0.000216250792180726,"D Tuazon, Quezon City",14.6281,121.0
LTFRB_1330,0.00021621525787166897,"Apo, Quezon City",14.6211,121.002
LTFRB_2081,0.0002161641185565333,"Christ the King Seminary, Eulogio Rodriguez Sr. Ave, Quezon City, Manila",14.6238,121.031
LTFRB_1507,0.00021615072892367692,"Daptian / Arsenio H. Lacson Ave Intersection, Manila",14.613,120.99
LTFRB_2108,0.00021614765612721834,Tomas Morato Ave / Marathon,14.6281,121.034
LTFRB_2124,0.0002161259993808357,"K-H, Quezon City, Manila",14.6297,121.051
LTFRB_4220,0.00021609226101305696,"MRT-3 Santolan - Annapolis Station, EDSA, Epifanio de los Santos Av, Quezon City, Manila",14.6078,121.057
LTFRB_1534,0.00021602571273377703,"Quiricada / Felix Huertas Intersection, Manila",14.613,120.984
LTFRB_1799,0.00021599910888260012,"G. Tuazon, Manila",14.6034,120.997
LTFRB_1489,0.00021599669792107676,"Iba / Dapitan Intersrction, Manila",14.621,120.998
LTFRB_1509,0.0002159843351169221,"Alfonso Mendoza, Manila",14.6119,120.986
LTFRB_1795,0.00021597905570433292,"Ramon Magsaysay Blvd, Manila",14.6008,120.995
LTFRB_2109,0.0002159630397450391,"Tomas Morato Ave, Quezon City, Manila",14.6255,121.033
LTFRB_4439,0.00021592585761711546,"Ermin Garcia Ave / Judege Damian Jimenez, Quezon City, Manila",14.6255,121.04
LTFRB_1243,0.00021588243825176808,"Epifanio de los Santos Avenue / Bulacan Intersection, Quezon City",14.6556,121.029
LTFRB_2110,0.0002158534818093085,"Teodoro Gener / Kamuning Rd, Quezon City, Manila",14.628,121.036
LTFRB_2283,0.00021584194120028582,"Scout Tobias / Timog Ave Intersection, Quezon City, Manila",14.6358,121.031
LTFRB_1389,0.0002157813135870623,"West Avenue, Quezon City",14.6422,121.027
LTFRB_4196,0.0002157793648391787,"Epifanio de los Santos Av, Quezon City, Manila",14.6484,121.035
LTFRB_2125,0.00021575153936627097,"New York Ave, Quezon City, Manila",14.6273,121.052
LTFRB_1244,0.00021570083772346488,"Epifanio de los Santos Avenue / North Avenue Intersection, Quezon City",14.6554,121.031
LTFRB_2118,0.00021566881118128804,"Kamuning Rd / Scout Rallos Extension Intersection, Quezon City, Manila",14.6304,121.045
LTFRB_1259,0.00021566662609389333,"Epifanio de los Santos Avenue, Quezon City",14.6536,121.032
LTFRB_2251,0.00021564550255486734,"East Ave / NIA Road Intersection, Quezon City, Manila",14.6374,121.046
LTFRB_2083,0.0002156300622472373,"Eulogio Rodriguez Sr. Ave, Quezon City, Manila",14.6245,121.038
LTFRB_2084,0.00021560442926910926,"Eulogio Rodriguez Sr. Ave / Hillcrest Intersection, Quezon City, Manila",14.6247,121.042
LTFRB_1399,0.00021559203192474656,"Quezon Avenue / BIR Road Intersection, Quezon City",14.6462,121.041
LTFRB_1508,0.00021558717858900287,"San Lazaro / Alfonso Mendoza Intersection, Manila",14.6141,120.986
LTFRB_1478,0.00021557545803915545,"Dimaslang, Manila",14.6162,120.989
LTFRB_2117,0.0002155682834287924,"Kamuning Rd, Quezon City, Manila",14.6295,121.042
LTFRB_1528,0.00021554756607306165,"Oroquieta, Manila",14.6051,120.983
LTFRB_1782,0.00021553293336778423,"Quezon Blvd, Manila",14.5994,120.984
LTFRB_1377,0.0002155180646063606,"Roosevelt Avenue, Quezon City",14.6381,121.018
LTFRB_2180,0.00021550131366987002,"Columbia / Yale Intersection, Quezon City, Manila",14.626,121.055
LTFRB_1778,0.00021548352423004786,"Quezon Blvd, Manila",14.5974,120.984
LTFRB_1477,0.00021544910395623995,"Dimaslang, Manila",14.6176,120.989
LTFRB_1820,0.0002153770473467093,"Pureza Extension / Ramon Magsaysay Blvd Intersection, Manila",14.6019,121.004
LTFRB_2095,0.00021533641290920414,"Aurora Blvd / N Domingo Intersection, Quezon City, Manila",14.6198,121.046
LTFRB_1830,0.0002153196109956732,"Ramon Magsaysay Blvd, Manila",14.6027,121.015
LTFRB_4442,0.00021530297998082273,"Eulogio Rodriguez Sr. Ave / Don Alfredo Egea, Quezon City, Manila",14.6244,121.043
